id,query,venue_name,venue_short,relevant_terms,found_tweets
1,bostonglobe AND science_extended,The Boston Globe,bostonglobe,science_extended,2287
2,bostonglobe AND science,The Boston Globe,bostonglobe,science,29963
3,chicago AND suntimes AND science,The Chicago Suntimes,chicago,science,2003
4,foxnews AND science,FOX News,foxnews,science,431310
5,guardian AND science,The Guardian,theguardian,science,130078
6,iflscience,IFLScience,iflscience,,333099
7,latimes AND science,The LA Times,latimes,science,203134
8,nytimes AND science,The NY Times,nytimes,science,1783887
9,sfchronicle AND science,SF Chronicle,sfchronicle,science,15058
10,slate AND bad_astronomy,Slate,slate,bad_astronomy,220
11,slate AND climate_desk,Slate,slate,climate_desk,14
12,slate AND future_tense,Slate,slate,future_tense,2081
13,slate AND health_and_science,Slate,slate,health_and_science,6850
14,theglobeandmail AND science,The Globe and Mail,theglobeandmail,science,36662
15,washingtonpost AND animalia,The Washington Post,washingtonpost,animalia,239763
16,washingtonpost AND energy-environment,The Washington Post,washingtonpost,energy-environment,1406739
17,washingtonpost AND speaking-of-science,The Washington Post,washingtonpost,speaking-of-science,381258
18,washingtonpost AND to-your-health,The Washington Post,washingtonpost,to-your-health,413399
19,wired AND science,Wired,wired,science,256903
